Clinic ID,Clinic Name,Clinic Address,Postal Code,FSA,Clinic City,Province,Clinic_Geo_Cols,Clinic_Geocode
1,Clinic 1,8308 114 St Nw Suite 2020,T6G 2V2,T6G,Edmonton,AB,"Clinic Address,Postal Code","(53.519807, -113.52716)"
2,Clinic 2,3480 Lawrence Ave E Unit 5,M1H 1A9,M1H,Scarborough,ON,"Clinic Address,Postal Code","(43.7597868, -79.2270078)"
3,Clinic 3,4715 8 Ave Se,T2A 3N4,T2A,Calgary,AB,"Clinic Address,Postal Code","(51.0449376, -113.9672239)"
4,Clinic 4,234 Dovedale Drive,L4P 0H3,L4P,Keswick,ON,"Clinic Address,Postal Code","(44.2204744, -79.4485566)"
5,Clinic 5,3968 Rue Notre-Dame O Etage 2E,H4C 1R1,H4C,Montreal,QC,"Clinic Address,Postal Code","(45.477993, -73.583575)"
6,Clinic 6,3400 Rue Du Marche Bureau 203,H9B 2Y1,H9B,Dollard-Des-Ormeaux,QC,"Clinic Address,Postal Code","(45.4845355, -73.80005729999999)"
7,Clinic 7,1441 29 St Nw,T2N 4J8,T2N,Calgary,AB,"Clinic Address,Postal Code","(51.065853, -114.132177)"
8,Clinic 8,910 Rue Labelle,J7Z 5M5,J7Z,Saint-Jerome,QC,"Clinic Address,Postal Code","(45.7887824, -74.0065915)"
9,Clinic 9,32 Rue De La Reserve,G0T 1K0,G0T,Essipit,QC,"Clinic Address,Postal Code","(48.3433436, -69.39844959999999)"
10,Clinic 10,1615 Boul Jacques-Cartier E Bureau 200,J4M 2X1,J4M,Longueuil,QC,"Clinic Address,Postal Code","(45.5408222, -73.4565803)"
11,Clinic 11,66 Rue Sainte-Catherine E,H2X 1K6,H2X,Montreal,QC,"Clinic Address,Postal Code","(45.5105943, -73.5629387)"
12,Clinic 12,345 Rumsey Rd,M4G 1R7,M4G,Toronto,ON,"Clinic Address,Postal Code","(43.7184761, -79.3714213)"
13,Clinic 13,3713 Kensington Ave,V5B 0A7,V5B,Burnaby,BC,"Clinic Address,Postal Code","(49.2516773, -122.9676986)"
14,Clinic 14,409 Tache Ave Room L1019,R2H 2A6,R2H,Winnipeg,MB,"Clinic Address,Postal Code","(49.884164, -97.1254912)"
15,Clinic 15,85 The East Mall,M8Z 5W4,M8Z,Etobicoke,ON,"Clinic Address,Postal Code","(43.6198903, -79.5486653)"
16,Clinic 16,790 Bay St Suite 108,M5G 1N8,M5G,Toronto,ON,"Clinic Address,Postal Code","(43.660478, -79.38614009999999)"
17,Clinic 17,1221 Lakeshore Rd Suite 103,L7S 0A1,L7S,Burlington,ON,"Clinic Address,Postal Code","(43.31522460000001, -79.80178819999999)"
18,Clinic 18,333 Lakeshore Rd W,L5H 1G9,L5H,Mississauga,ON,"Clinic Address,Postal Code","(43.5431815, -79.59472579999999)"
19,Clinic 19,1811 St Joseph Blvd,K1C 7C6,K1C,Orleans,ON,"Clinic Address,Postal Code","(45.4621413, -75.5468875)"
20,Clinic 20,76 Stuart St,K7L 2V7,K7L,Kingston,ON,"Clinic Address,Postal Code","(44.2237426, -76.4935185)"
21,Clinic 21,1661 Montreal Rd,K1J 9B7,K1J,Gloucester,ON,"Clinic Address,Postal Code","(45.44683990000001, -75.6135369)"
22,Clinic 22,399 Bathurst St Room 437,M5T 2S8,M5T,Toronto,ON,"Clinic Address,Postal Code","(43.6534088, -79.405247)"
23,Clinic 23,399 Bathurst St Room 2-405,M5T 2S8,M5T,Toronto,ON,"Clinic Address,Postal Code","(43.6534088, -79.405247)"
24,Clinic 24,40 Ruskin St Room H3238,K1Y 4W7,K1Y,Ottawa,ON,"Clinic Address,Postal Code","(45.39416110000001, -75.7206815)"
25,Clinic 25,70 Victoria St,N0B 1S0,N0B,Elora,ON,"Clinic Address,Postal Code","(43.67809889999999, -80.42851399999999)"
26,Clinic 26,460 Two Nations Cross,E3A 0X9,E3A,Fredericton,NB,"Clinic Address,Postal Code","(45.9828573, -66.6173579)"
27,Clinic 27,2 Gurdwara Rd Suite 602,K2E 1A2,K2E,Nepean,ON,"Clinic Address,Postal Code","(45.3348563, -75.7017731)"
28,Clinic 28,89 Dawson Rd Suite 208,N1H 1B1,N1H,Guelph,ON,"Clinic Address,Postal Code","(43.5491235, -80.2782715)"
29,Clinic 29,6 Thompson Cres Unit 1 Ss 0001,N0B 1T0,N0B,Erin,ON,"Clinic Address,Postal Code","(43.7817859, -80.077955)"
30,Clinic 30,6038 Empress St,N8T 1B5,N8T,Windsor,ON,"Clinic Address,Postal Code","(42.3128704, -82.9546087)"
31,Clinic 31,210 B Gran St,P6A 0C4,P6A,Batchewana First Nation,ON,"Clinic Address,Postal Code","(46.5127855, -84.2703035)"
32,Clinic 32,6155 North Street Suite 406,B3K 5R3,B3K,Halifax,NS,"Clinic Address,Postal Code","(44.65296910000001, -63.5976721)"
33,Clinic 33,50 Charlton Ave E Room F513,L8N 4A6,L8N,Hamilton,ON,"Clinic Address,Postal Code","(43.2494167, -79.8696379)"
