ID,Address,Postal Code,FSA,City,Province,Pat_Geo_Cols,Pat_Geocode
1,722 85 ST SW UNIT 215,T3H 1S6,T3H,CALGARY,AB,"Address,Postal Code","(51.06646509999999, -114.2096271)"
2,1640 BLOOR ST W,M6P 1A7,M6P,TORONTO,ON,"Address,Postal Code","(43.6557418, -79.4564786)"
3,284 HELMCKEN RD SUITE 108,V9B 1T2,V9B,VICTORIA,BC,"Address,Postal Code","(48.4553947, -123.4410938)"
4,85 NORFOLK ST SUITE 305,N1H 4J4,N1H,GUELPH,ON,"Address,Postal Code","(43.5450939, -80.2515167)"
5,462 BIRCHMOUNT RD UNIT 1B,M1K 1N8,M1K,SCARBOROUGH,ON,"Address,Postal Code","(43.7069465, -79.26872379999999)"
6,807 BROADVIEW AVE,M4K 2P8,M4K,TORONTO,ON,"Address,Postal Code","(43.67797820000001, -79.35826)"
7,45 WEATHERBEE RD SUITE 308,B1M 0A1,B1M,MIRA ROAD,NS,"Address,Postal Code","(46.1135293, -60.1756705)"
8,2120 REGENT ST UNIT 9,P3E 3Z9,P3E,SUDBURY,ON,"Address,Postal Code","(46.45116280000001, -80.996419)"
9,1079 MAPLE AVE UNIT 2,L9T 0A5,L9T,MILTON,ON,"Address,Postal Code","(43.5375295, -79.8745711)"
10,179 DAVIE ST SUITE 202,V6Z 2Y1,V6Z,VANCOUVER,BC,"Address,Postal Code","(49.273822, -123.1205887)"
11,2130 LAWRENCE AVE E SUITE 307,M1R 3A6,M1R,SCARBOROUGH,ON,"Address,Postal Code","(43.7475629, -79.2873072)"
12,223 16TH AVE,V0B 1G0,V0B,CRESTON,BC,"Address,Postal Code","(49.0967119, -116.5074702)"
13,2211 WESBROOK MALL SUITE M334,V6T 2B5,V6T,VANCOUVER,BC,"Address,Postal Code","(49.26415919999999, -123.2463188)"
14,10 ANGELINE ST N,K9V 4M8,K9V,LINDSAY,ON,"Address,Postal Code","(44.35361940000001, -78.7522193)"
15,462 PAXTON ST,L9L 1L9,L9L,PORT PERRY,ON,"Address,Postal Code","(44.1041545, -78.95388129999999)"
16,574 UPPER JAMES ST,L9C 2Y6,L9C,HAMILTON,ON,"Address,Postal Code","(43.240174, -79.8773004)"
17,840 COXWELL AVE SUITE 105,M4C 5T2,M4C,EAST YORK,ON,"Address,Postal Code","(43.6900078, -79.32660299999999)"
18,879 SHEFFORD RD UNIT 101,K1J 8H9,K1J,GLOUCESTER,ON,"Address,Postal Code","(45.4531847, -75.5894838)"
19,28 SAINT JOHN ST,K0G 1N0,K0G,MERRICKVILLE,ON,"Address,Postal Code","(44.9163401, -75.8390155)"
20,955 OLIVER RD,P7B 5E1,P7B,THUNDER BAY,ON,"Address,Postal Code","(48.420957, -89.2621479)"
21,904 OTTAWA ST,P0X 1C0,P0X,KEEWATIN,ON,"Address,Postal Code","(49.76123930000001, -94.55607429999999)"
22,106 ELMSDALE RD,B2S 1K6,B2S,ELMSDALE,NS,"Address,Postal Code","(44.9655975, -63.5031741)"
23,3000 HIGHWAY 7  E SUITE 202,L3R 6E1,L3R,MARKHAM,ON,"Address,Postal Code","(43.8505494, -79.3576291)"
24,70 MEREDITH ST GD,P0P 1H0,P0P,GORE BAY,ON,"Address,Postal Code","(45.9182566, -82.4640119)"
25,36 GREY ST N,N0H 2L0,N0H,SOUTHAMPTON,ON,"Address,Postal Code","(44.4943493, -81.36507619999999)"
26,199 PRINCESS ANNE DR,L7G 0E3,L7G,GEORGETOWN,ON,"Address,Postal Code","(43.6420332, -79.9395129)"
27,967 BEDFORD HWY SUITE 207,B4A 1A9,B4A,BEDFORD,NS,"Address,Postal Code","(44.71603289999999, -63.6775592)"
28,751 VICTORIA ST S SUITE B106,N2M 5N4,N2M,KITCHENER,ON,"Address,Postal Code","(43.4386027, -80.5220176)"
29,54 VICTORIA ST UNIT 102,N0B 1S0,N0B,ELORA,ON,"Address,Postal Code","(43.6796245, -80.42981759999999)"
30,273 KING ST E SUITE 2,K7L 3B1,K7L,KINGSTON,ON,"Address,Postal Code","(44.2290168, -76.482063)"
31,1871 DANFORTH AVE,M4C 1J3,M4C,TORONTO,ON,"Address,Postal Code","(43.6844864, -79.31735429999999)"
32,14 COLLEGE ST SUITE 501,M5G 1K2,M5G,TORONTO,ON,"Address,Postal Code","(43.66145150000001, -79.38399489999999)"
33,231 OAK PARK BLVD SUITE 110,L6H 7S8,L6H,OAKVILLE,ON,"Address,Postal Code","(43.4825972, -79.7162645)"
34,75 BRUYERE ST,K1N 5C7,K1N,OTTAWA,ON,"Address,Postal Code","(45.432212, -75.6960263)"
35,355 WELLINGTON ST SUITE 233,N6A 3N7,N6A,LONDON,ON,"Address,Postal Code","(42.98399029999999, -81.24566639999999)"
36,355 WELLINGTON ST SUITE 110,N6A 3N7,N6A,LONDON,ON,"Address,Postal Code","(42.9839241, -81.2460321)"
37,535 MONTREAL RD,K1K 0V1,K1K,OTTAWA,ON,"Address,Postal Code","(45.4416774, -75.6461208)"
38,417 LASALLE BLVD,P3A 1W8,P3A,SUDBURY,ON,"Address,Postal Code","(46.5218923, -80.9763876)"
39,745 B MONTREAL RD SUITE 102,K1K 0T1,K1K,OTTAWA,ON,"Address,Postal Code","(45.4447513, -75.637228)"
40,713 MONTREAL RD PAVILLION B,K1K 0T2,K1K,OTTAWA,ON,"Address,Postal Code","(45.4459685, -75.6393641)"
41,2741 RUE CHAMBERLAND,K4K 0B4,K4K,ROCKLAND,ON,"Address,Postal Code","(45.5444993, -75.3012445)"
42,777 BAY ST SUITE 210,M5G 2C8,M5G,TORONTO,ON,"Address,Postal Code","(43.66071489999999, -79.3855224)"
43,130 ADELAIDE ST W SUITE 108,M5H 3P5,M5H,TORONTO,ON,"Address,Postal Code","(43.6496302, -79.3837586)"
44,11 KING ST W SUITE C-120,M5H 4C7,M5H,TORONTO,ON,"Address,Postal Code","(43.64874229999999, -79.37849720000001)"
45,180 QUEEN ST W FLOOR 10,M5V 3L7,M5V,TORONTO,ON,"Address,Postal Code","(43.6507479, -79.3878758)"
46,5001 ANDERSON WAY,V1T 9V1,V1T,VERNON,BC,"Address,Postal Code","(50.2847345, -119.2714414)"
47,240 DUNCAN MILL RD SUITE 704,M3B 3S6,M3B,NORTH YORK,ON,"Address,Postal Code","(43.7621827, -79.351396)"
48,205 CUMMER AVE,M2M 2E8,M2M,NORTH YORK,ON,"Address,Postal Code","(43.788879, -79.408569)"
49,2401 YONGE ST SUITE 204,M4P 3H1,M4P,TORONTO,ON,"Address,Postal Code","(43.7100974, -79.39884359999999)"
50,1246 LEMARCHANT ST,B3H 3P7,B3H,HALIFAX,NS,"Address,Postal Code","(44.6359989, -63.5898875)"
51,1711 COOK ST UNIT 301,V8T 3P2,V8T,VICTORIA,BC,"Address,Postal Code","(48.4288383, -123.3527434)"
52,27 RONCESVALLES AVE SUITE 308,M6R 3B2,M6R,TORONTO,ON,"Address,Postal Code","(43.6397903, -79.4461627)"
53,CP 10 BDP,J0L 1B0,J0L,KAHNAWAKE,QC,"Address,Postal Code","(45.3843419, -73.6619489)"
54,5589 CH DE LA COTE-DES-NEIGES BUREAU 1,H3T 1Y8,H3T,MONTREAL,QC,"Address,Postal Code","(45.4976894, -73.6248361)"
55,681 ALGONQUIN BLVD E SUITE 1,P4N 8S6,P4N,TIMMINS,ON,"Address,Postal Code","(48.475925, -81.3157104)"
56,3050 ARGENTIA RD,L5N 8E1,L5N,MISSISSAUGA,ON,"Address,Postal Code","(43.5953804, -79.7856304)"
57,1685 MAIN ST W SUITE 300,L8S 1G5,L8S,HAMILTON,ON,"Address,Postal Code","(43.256644, -79.9342231)"
58,536 UPPER PARADISE RD,L9C 5E3,L9C,HAMILTON,ON,"Address,Postal Code","(43.2310155, -79.9135857)"
59,430 THE BOARDWALK  SUITE 204,N2T 0C1,N2T,WATERLOO,ON,"Address,Postal Code","(43.440252, -80.564936)"
60,750 DUNDAS ST W SUITE 11,M6J 3S3,M6J,TORONTO,ON,"Address,Postal Code","(43.6524067, -79.4064392)"
61,70 MCLEOD AVE SUITE 240,T7X 3C7,T7X,SPRUCE GROVE,AB,"Address,Postal Code","(53.5422558, -113.9159044)"
62,300 PLEASANT ST,B2Y 3S3,B2Y,DARTMOUTH,NS,"Address,Postal Code","(44.6521701, -63.5489191)"
63,1151 RICHMOND ST ROOM 25,N6A 3K7,N6A,LONDON,ON,"Address,Postal Code","(43.0080245, -81.2634123)"
64,237 BARTON ST E ROOM 531,L8L 2X2,L8L,HAMILTON,ON,"Address,Postal Code","(43.2624696, -79.85408670000001)"
65,10 GATEWAY BLVD,M3C 3A1,M3C,NORTH YORK,ON,"Address,Postal Code","(43.7098214, -79.3326132)"
66,2233 KIPLING AVE,M9W 4L3,M9W,ETOBICOKE,ON,"Address,Postal Code","(43.7257365, -79.5733921)"
67,75 DYRGAS GATE UNIT 101,T1W 0A6,T1W,CANMORE,AB,"Address,Postal Code","(51.05547019999999, -115.3218533)"
68,1960 APPLEBY LINE SUITE 24,L7L 0B7,L7L,BURLINGTON,ON,"Address,Postal Code","(43.3928736, -79.78983439999999)"
69,998 PARKLAND DR SUITE 204,B3M 0A6,B3M,HALIFAX,NS,"Address,Postal Code","(44.6835037, -63.6761162)"
70,66 ALBERT ST,N0H 2L0,N0H,SOUTHAMPTON,ON,"Address,Postal Code","(44.4936423, -81.3730341)"
